Round,Winner,Loser,Series Score,year
Western Conference First Round,Los Angeles Lakers,Kansas City Kings,(3-0),1984
Western Conference First Round,Phoenix Suns,Portland Trail Blazers,(3-2),1984
Western Conference First Round,Utah Jazz,Denver Nuggets,(3-2),1984
Finals,Los Angeles Lakers,Boston Celtics,(4-2),1985
Eastern Conference Finals,Boston Celtics,Philadelphia 76ers,(4-1),1985
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,(4-1),1985
Eastern Conference Semifinals,Boston Celtics,Detroit Pistons,(4-2),1985
Eastern Conference Semifinals,Philadelphia 76ers,Milwaukee Bucks,(4-0),1985
Western Conference Semifinals,Denver Nuggets,Utah Jazz,(4-1),1985
Western Conference Semifinals,Los Angeles Lakers,Portland Trail Blazers,(4-1),1985
Eastern Conference First Round,Boston Celtics,Cleveland Cavaliers,(3-1),1985
Eastern Conference First Round,Detroit Pistons,New Jersey Nets,(3-0),1985
Eastern Conference First Round,Milwaukee Bucks,Chicago Bulls,(3-1),1985
Eastern Conference First Round,Philadelphia 76ers,Washington Bullets,(3-1),1985
Western Conference First Round,Denver Nuggets,San Antonio Spurs,(3-2),1985
Western Conference First Round,Los Angeles Lakers,Phoenix Suns,(3-0),1985
Western Conference First Round,Portland Trail Blazers,Dallas Mavericks,(3-1),1985
Western Conference First Round,Utah Jazz,Houston Rockets,(3-2),1985
Finals,Boston Celtics,Houston Rockets,(4-2),1986
Eastern Conference Finals,Boston Celtics,Milwaukee Bucks,(4-0),1986
Western Conference Finals,Houston Rockets,Los Angeles Lakers,(4-1),1986
Eastern Conference Semifinals,Boston Celtics,Atlanta Hawks,(4-1),1986
Eastern Conference Semifinals,Milwaukee Bucks,Philadelphia 76ers,(4-3),1986
Western Conference Semifinals,Houston Rockets,Denver Nuggets,(4-2),1986
Western Conference Semifinals,Los Angeles Lakers,Dallas Mavericks,(4-2),1986
Eastern Conference First Round,Atlanta Hawks,Detroit Pistons,(3-1),1986
Eastern Conference First Round,Boston Celtics,Chicago Bulls,(3-0),1986
Eastern Conference First Round,Milwaukee Bucks,New Jersey Nets,(3-0),1986
Eastern Conference First Round,Philadelphia 76ers,Washington Bullets,(3-2),1986
Western Conference First Round,Dallas Mavericks,Utah Jazz,(3-1),1986
Western Conference First Round,Denver Nuggets,Portland Trail Blazers,(3-1),1986
Western Conference First Round,Houston Rockets,Sacramento Kings,(3-0),1986
Western Conference First Round,Los Angeles Lakers,San Antonio Spurs,(3-0),1986
Finals,Los Angeles Lakers,Boston Celtics,(4-2),1987
Eastern Conference Finals,Boston Celtics,Detroit Pistons,(4-3),1987
Western Conference Finals,Los Angeles Lakers,Seattle SuperSonics,(4-0),1987
Eastern Conference Semifinals,Boston Celtics,Milwaukee Bucks,(4-3),1987
Eastern Conference Semifinals,Detroit Pistons,Atlanta Hawks,(4-1),1987
Western Conference Semifinals,Los Angeles Lakers,Golden State Warriors,(4-1),1987
Western Conference Semifinals,Seattle SuperSonics,Houston Rockets,(4-2),1987
Eastern Conference First Round,Atlanta Hawks,Indiana Pacers,(3-1),1987
Eastern Conference First Round,Boston Celtics,Chicago Bulls,(3-0),1987
Eastern Conference First Round,Detroit Pistons,Washington Bullets,(3-0),1987
Eastern Conference First Round,Milwaukee Bucks,Philadelphia 76ers,(3-2),1987
Western Conference First Round,Golden State Warriors,Utah Jazz,(3-2),1987
Western Conference First Round,Houston Rockets,Portland Trail Blazers,(3-1),1987
Western Conference First Round,Los Angeles Lakers,Denver Nuggets,(3-0),1987
Western Conference First Round,Seattle SuperSonics,Dallas Mavericks,(3-1),1987
Finals,Los Angeles Lakers,Detroit Pistons,(4-3),1988
Eastern Conference Finals,Detroit Pistons,Boston Celtics,(4-2),1988
Western Conference Finals,Los Angeles Lakers,Dallas Mavericks,(4-3),1988
Eastern Conference Semifinals,Boston Celtics,Atlanta Hawks,(4-3),1988
Eastern Conference Semifinals,Detroit Pistons,Chicago Bulls,(4-1),1988
Western Conference Semifinals,Dallas Mavericks,Denver Nuggets,(4-2),1988
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,(4-3),1988
Eastern Conference First Round,Atlanta Hawks,Milwaukee Bucks,(3-2),1988
Eastern Conference First Round,Boston Celtics,New York Knicks,(3-1),1988
Eastern Conference First Round,Chicago Bulls,Cleveland Cavaliers,(3-2),1988
Eastern Conference First Round,Detroit Pistons,Washington Bullets,(3-2),1988
Western Conference First Round,Dallas Mavericks,Houston Rockets,(3-1),1988
Western Conference First Round,Denver Nuggets,Seattle SuperSonics,(3-2),1988
Western Conference First Round,Los Angeles Lakers,San Antonio Spurs,(3-0),1988
Western Conference First Round,Utah Jazz,Portland Trail Blazers,(3-1),1988
Finals,Detroit Pistons,Los Angeles Lakers,(4-0),1989
Eastern Conference Finals,Detroit Pistons,Chicago Bulls,(4-2),1989
Western Conference Finals,Los Angeles Lakers,Phoenix Suns,(4-0),1989
Eastern Conference Semifinals,Chicago Bulls,New York Knicks,(4-2),1989
Eastern Conference Semifinals,Detroit Pistons,Milwaukee Bucks,(4-0),1989
Western Conference Semifinals,Los Angeles Lakers,Seattle SuperSonics,(4-0),1989
Western Conference Semifinals,Phoenix Suns,Golden State Warriors,(4-1),1989
Eastern Conference First Round,Chicago Bulls,Cleveland Cavaliers,(3-2),1989
Eastern Conference First Round,Detroit Pistons,Boston Celtics,(3-0),1989
Eastern Conference First Round,Milwaukee Bucks,Atlanta Hawks,(3-2),1989
Eastern Conference First Round,New York Knicks,Philadelphia 76ers,(3-0),1989
Western Conference First Round,Golden State Warriors,Utah Jazz,(3-0),1989
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,(3-0),1989
Western Conference First Round,Phoenix Suns,Denver Nuggets,(3-0),1989
Western Conference First Round,Seattle SuperSonics,Houston Rockets,(3-1),1989
Finals,Detroit Pistons,Portland Trail Blazers,(4-1),1990
Eastern Conference Finals,Detroit Pistons,Chicago Bulls,(4-3),1990
Western Conference Finals,Portland Trail Blazers,Phoenix Suns,(4-2),1990
Eastern Conference Semifinals,Chicago Bulls,Philadelphia 76ers,(4-1),1990
Eastern Conference Semifinals,Detroit Pistons,New York Knicks,(4-1),1990
Western Conference Semifinals,Phoenix Suns,Los Angeles Lakers,(4-1),1990
Western Conference Semifinals,Portland Trail Blazers,San Antonio Spurs,(4-3),1990
Eastern Conference First Round,Chicago Bulls,Milwaukee Bucks,(3-1),1990
Eastern Conference First Round,Detroit Pistons,Indiana Pacers,(3-0),1990
Eastern Conference First Round,New York Knicks,Boston Celtics,(3-2),1990
Eastern Conference First Round,Philadelphia 76ers,Cleveland Cavaliers,(3-2),1990
Western Conference First Round,Los Angeles Lakers,Houston Rockets,(3-1),1990
Western Conference First Round,Phoenix Suns,Utah Jazz,(3-2),1990
Western Conference First Round,Portland Trail Blazers,Dallas Mavericks,(3-0),1990
Western Conference First Round,San Antonio Spurs,Denver Nuggets,(3-0),1990
Finals,Chicago Bulls,Los Angeles Lakers,(4-1),1991
Eastern Conference Finals,Chicago Bulls,Detroit Pistons,(4-0),1991
Western Conference Finals,Los Angeles Lakers,Portland Trail Blazers,(4-2),1991
Eastern Conference Semifinals,Chicago Bulls,Philadelphia 76ers,(4-1),1991
Eastern Conference Semifinals,Detroit Pistons,Boston Celtics,(4-2),1991
Western Conference Semifinals,Los Angeles Lakers,Golden State Warriors,(4-1),1991
Western Conference Semifinals,Portland Trail Blazers,Utah Jazz,(4-1),1991
Eastern Conference First Round,Boston Celtics,Indiana Pacers,(3-2),1991
Eastern Conference First Round,Chicago Bulls,New York Knicks,(3-0),1991
Eastern Conference First Round,Detroit Pistons,Atlanta Hawks,(3-2),1991
Eastern Conference First Round,Philadelphia 76ers,Milwaukee Bucks,(3-0),1991
Western Conference First Round,Golden State Warriors,San Antonio Spurs,(3-1),1991
Western Conference First Round,Los Angeles Lakers,Houston Rockets,(3-0),1991
Western Conference First Round,Portland Trail Blazers,Seattle SuperSonics,(3-2),1991
Western Conference First Round,Utah Jazz,Phoenix Suns,(3-1),1991
Finals,Chicago Bulls,Portland Trail Blazers,(4-2),1992
Eastern Conference Finals,Chicago Bulls,Cleveland Cavaliers,(4-2),1992
Western Conference Finals,Portland Trail Blazers,Utah Jazz,(4-2),1992
Eastern Conference Semifinals,Chicago Bulls,New York Knicks,(4-3),1992
Eastern Conference Semifinals,Cleveland Cavaliers,Boston Celtics,(4-3),1992
Western Conference Semifinals,Portland Trail Blazers,Phoenix Suns,(4-1),1992
Western Conference Semifinals,Utah Jazz,Seattle SuperSonics,(4-1),1992
Eastern Conference First Round,Boston Celtics,Indiana Pacers,(3-0),1992
Eastern Conference First Round,Chicago Bulls,Miami Heat,(3-0),1992
Eastern Conference First Round,Cleveland Cavaliers,New Jersey Nets,(3-1),1992
Eastern Conference First Round,New York Knicks,Detroit Pistons,(3-2),1992
Western Conference First Round,Phoenix Suns,San Antonio Spurs,(3-0),1992
Western Conference First Round,Portland Trail Blazers,Los Angeles Lakers,(3-1),1992
Western Conference First Round,Seattle SuperSonics,Golden State Warriors,(3-1),1992
Western Conference First Round,Utah Jazz,Los Angeles Clippers,(3-2),1992
Finals,Chicago Bulls,Phoenix Suns,(4-2),1993
Eastern Conference Finals,Chicago Bulls,New York Knicks,(4-2),1993
Western Conference Finals,Phoenix Suns,Seattle SuperSonics,(4-3),1993
Eastern Conference Semifinals,Chicago Bulls,Cleveland Cavaliers,(4-0),1993
Eastern Conference Semifinals,New York Knicks,Charlotte Hornets,(4-1),1993
Western Conference Semifinals,Phoenix Suns,San Antonio Spurs,(4-2),1993
Western Conference Semifinals,Seattle SuperSonics,Houston Rockets,(4-3),1993
Eastern Conference First Round,Charlotte Hornets,Boston Celtics,(3-1),1993
Eastern Conference First Round,Chicago Bulls,Atlanta Hawks,(3-0),1993
Eastern Conference First Round,Cleveland Cavaliers,New Jersey Nets,(3-2),1993
Eastern Conference First Round,New York Knicks,Indiana Pacers,(3-1),1993
Western Conference First Round,Houston Rockets,Los Angeles Clippers,(3-2),1993
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,(3-2),1993
Western Conference First Round,San Antonio Spurs,Portland Trail Blazers,(3-1),1993
Western Conference First Round,Seattle SuperSonics,Utah Jazz,(3-2),1993
Finals,Houston Rockets,New York Knicks,(4-3),1994
Eastern Conference Finals,New York Knicks,Indiana Pacers,(4-3),1994
Western Conference Finals,Houston Rockets,Utah Jazz,(4-1),1994
Eastern Conference Semifinals,Indiana Pacers,Atlanta Hawks,(4-2),1994
Eastern Conference Semifinals,New York Knicks,Chicago Bulls,(4-3),1994
Western Conference Semifinals,Houston Rockets,Phoenix Suns,(4-3),1994
Western Conference Semifinals,Utah Jazz,Denver Nuggets,(4-3),1994
Eastern Conference First Round,Atlanta Hawks,Miami Heat,(3-2),1994
Eastern Conference First Round,Chicago Bulls,Cleveland Cavaliers,(3-0),1994
Eastern Conference First Round,Indiana Pacers,Orlando Magic,(3-0),1994
Eastern Conference First Round,New York Knicks,New Jersey Nets,(3-1),1994
Western Conference First Round,Denver Nuggets,Seattle SuperSonics,(3-2),1994
Western Conference First Round,Houston Rockets,Portland Trail Blazers,(3-1),1994
Western Conference First Round,Phoenix Suns,Golden State Warriors,(3-0),1994
Western Conference First Round,Utah Jazz,San Antonio Spurs,(3-1),1994
Finals,Houston Rockets,Orlando Magic,(4-0),1995
Eastern Conference Finals,Orlando Magic,Indiana Pacers,(4-3),1995
Western Conference Finals,Houston Rockets,San Antonio Spurs,(4-2),1995
Eastern Conference Semifinals,Indiana Pacers,New York Knicks,(4-3),1995
Eastern Conference Semifinals,Orlando Magic,Chicago Bulls,(4-2),1995
Western Conference Semifinals,Houston Rockets,Phoenix Suns,(4-3),1995
Western Conference Semifinals,San Antonio Spurs,Los Angeles Lakers,(4-2),1995
Eastern Conference First Round,Chicago Bulls,Charlotte Hornets,(3-1),1995
Eastern Conference First Round,Indiana Pacers,Atlanta Hawks,(3-0),1995
Eastern Conference First Round,New York Knicks,Cleveland Cavaliers,(3-1),1995
Eastern Conference First Round,Orlando Magic,Boston Celtics,(3-1),1995
Western Conference First Round,Houston Rockets,Utah Jazz,(3-2),1995
Western Conference First Round,Los Angeles Lakers,Seattle SuperSonics,(3-1),1995
Western Conference First Round,Phoenix Suns,Portland Trail Blazers,(3-0),1995
Western Conference First Round,San Antonio Spurs,Denver Nuggets,(3-0),1995
Finals,Chicago Bulls,Seattle SuperSonics,(4-2),1996
Eastern Conference Finals,Chicago Bulls,Orlando Magic,(4-0),1996
Western Conference Finals,Seattle SuperSonics,Utah Jazz,(4-3),1996
Eastern Conference Semifinals,Chicago Bulls,New York Knicks,(4-1),1996
Eastern Conference Semifinals,Orlando Magic,Atlanta Hawks,(4-1),1996
Western Conference Semifinals,Seattle SuperSonics,Houston Rockets,(4-0),1996
Western Conference Semifinals,Utah Jazz,San Antonio Spurs,(4-2),1996
Eastern Conference First Round,Atlanta Hawks,Indiana Pacers,(3-2),1996
Eastern Conference First Round,Chicago Bulls,Miami Heat,(3-0),1996
Eastern Conference First Round,New York Knicks,Cleveland Cavaliers,(3-0),1996
Eastern Conference First Round,Orlando Magic,Detroit Pistons,(3-0),1996
Western Conference First Round,Houston Rockets,Los Angeles Lakers,(3-1),1996
Western Conference First Round,San Antonio Spurs,Phoenix Suns,(3-1),1996
Western Conference First Round,Seattle SuperSonics,Sacramento Kings,(3-1),1996
Western Conference First Round,Utah Jazz,Portland Trail Blazers,(3-2),1996
Finals,Chicago Bulls,Utah Jazz,(4-2),1997
Eastern Conference Finals,Chicago Bulls,Miami Heat,(4-1),1997
Western Conference Finals,Utah Jazz,Houston Rockets,(4-2),1997
Eastern Conference Semifinals,Chicago Bulls,Atlanta Hawks,(4-1),1997
Eastern Conference Semifinals,Miami Heat,New York Knicks,(4-3),1997
Western Conference Semifinals,Houston Rockets,Seattle SuperSonics,(4-3),1997
Western Conference Semifinals,Utah Jazz,Los Angeles Lakers,(4-1),1997
Eastern Conference First Round,Atlanta Hawks,Detroit Pistons,(3-2),1997
Eastern Conference First Round,Chicago Bulls,Washington Bullets,(3-0),1997
Eastern Conference First Round,Miami Heat,Orlando Magic,(3-2),1997
Eastern Conference First Round,New York Knicks,Charlotte Hornets,(3-0),1997
Western Conference First Round,Houston Rockets,Minnesota Timberwolves,(3-0),1997
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,(3-1),1997
Western Conference First Round,Seattle SuperSonics,Phoenix Suns,(3-2),1997
Western Conference First Round,Utah Jazz,Los Angeles Clippers,(3-0),1997
Finals,Chicago Bulls,Utah Jazz,(4-2),1998
Eastern Conference Finals,Chicago Bulls,Indiana Pacers,(4-3),1998
Western Conference Finals,Utah Jazz,Los Angeles Lakers,(4-0),1998
Eastern Conference Semifinals,Chicago Bulls,Charlotte Hornets,(4-1),1998
Eastern Conference Semifinals,Indiana Pacers,New York Knicks,(4-1),1998
Western Conference Semifinals,Los Angeles Lakers,Seattle SuperSonics,(4-1),1998
Western Conference Semifinals,Utah Jazz,San Antonio Spurs,(4-1),1998
Eastern Conference First Round,Charlotte Hornets,Atlanta Hawks,(3-1),1998
Eastern Conference First Round,Chicago Bulls,New Jersey Nets,(3-0),1998
Eastern Conference First Round,Indiana Pacers,Cleveland Cavaliers,(3-1),1998
Eastern Conference First Round,New York Knicks,Miami Heat,(3-2),1998
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,(3-1),1998
Western Conference First Round,San Antonio Spurs,Phoenix Suns,(3-1),1998
Western Conference First Round,Seattle SuperSonics,Minnesota Timberwolves,(3-2),1998
Western Conference First Round,Utah Jazz,Houston Rockets,(3-2),1998
Finals,San Antonio Spurs,New York Knicks,(4-1),1999
Eastern Conference Finals,New York Knicks,Indiana Pacers,(4-2),1999
Western Conference Finals,San Antonio Spurs,Portland Trail Blazers,(4-0),1999
Eastern Conference Semifinals,Indiana Pacers,Philadelphia 76ers,(4-0),1999
Eastern Conference Semifinals,New York Knicks,Atlanta Hawks,(4-0),1999
Western Conference Semifinals,Portland Trail Blazers,Utah Jazz,(4-2),1999
Western Conference Semifinals,San Antonio Spurs,Los Angeles Lakers,(4-0),1999
Eastern Conference First Round,Atlanta Hawks,Detroit Pistons,(3-2),1999
Eastern Conference First Round,Indiana Pacers,Milwaukee Bucks,(3-0),1999
Eastern Conference First Round,New York Knicks,Miami Heat,(3-2),1999
Eastern Conference First Round,Philadelphia 76ers,Orlando Magic,(3-1),1999
Western Conference First Round,Los Angeles Lakers,Houston Rockets,(3-1),1999
Western Conference First Round,Portland Trail Blazers,Phoenix Suns,(3-0),1999
Western Conference First Round,San Antonio Spurs,Minnesota Timberwolves,(3-1),1999
Western Conference First Round,Utah Jazz,Sacramento Kings,(3-2),1999
Finals,Los Angeles Lakers,Indiana Pacers,(4-2),2000
Eastern Conference Finals,Indiana Pacers,New York Knicks,(4-2),2000
Western Conference Finals,Los Angeles Lakers,Portland Trail Blazers,(4-3),2000
Eastern Conference Semifinals,Indiana Pacers,Philadelphia 76ers,(4-2),2000
Eastern Conference Semifinals,New York Knicks,Miami Heat,(4-3),2000
Western Conference Semifinals,Los Angeles Lakers,Phoenix Suns,(4-1),2000
Western Conference Semifinals,Portland Trail Blazers,Utah Jazz,(4-1),2000
Eastern Conference First Round,Indiana Pacers,Milwaukee Bucks,(3-2),2000
Eastern Conference First Round,Miami Heat,Detroit Pistons,(3-0),2000
Eastern Conference First Round,New York Knicks,Toronto Raptors,(3-0),2000
Eastern Conference First Round,Philadelphia 76ers,Charlotte Hornets,(3-1),2000
Western Conference First Round,Los Angeles Lakers,Sacramento Kings,(3-2),2000
Western Conference First Round,Phoenix Suns,San Antonio Spurs,(3-1),2000
Western Conference First Round,Portland Trail Blazers,Minnesota Timberwolves,(3-1),2000
Western Conference First Round,Utah Jazz,Seattle SuperSonics,(3-2),2000
Finals,Los Angeles Lakers,Philadelphia 76ers,(4-1),2001
Eastern Conference Finals,Philadelphia 76ers,Milwaukee Bucks,(4-3),2001
Western Conference Finals,Los Angeles Lakers,San Antonio Spurs,(4-0),2001
Eastern Conference Semifinals,Milwaukee Bucks,Charlotte Hornets,(4-3),2001
Eastern Conference Semifinals,Philadelphia 76ers,Toronto Raptors,(4-3),2001
Western Conference Semifinals,Los Angeles Lakers,Sacramento Kings,(4-0),2001
Western Conference Semifinals,San Antonio Spurs,Dallas Mavericks,(4-1),2001
Eastern Conference First Round,Charlotte Hornets,Miami Heat,(3-0),2001
Eastern Conference First Round,Milwaukee Bucks,Orlando Magic,(3-1),2001
Eastern Conference First Round,Philadelphia 76ers,Indiana Pacers,(3-1),2001
Eastern Conference First Round,Toronto Raptors,New York Knicks,(3-2),2001
Western Conference First Round,Dallas Mavericks,Utah Jazz,(3-2),2001
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,(3-0),2001
Western Conference First Round,Sacramento Kings,Phoenix Suns,(3-1),2001
Western Conference First Round,San Antonio Spurs,Minnesota Timberwolves,(3-1),2001
Finals,Los Angeles Lakers,New Jersey Nets,(4-0),2002
Eastern Conference Finals,New Jersey Nets,Boston Celtics,(4-2),2002
Western Conference Finals,Los Angeles Lakers,Sacramento Kings,(4-3),2002
Eastern Conference Semifinals,Boston Celtics,Detroit Pistons,(4-1),2002
Eastern Conference Semifinals,New Jersey Nets,Charlotte Hornets,(4-1),2002
Western Conference Semifinals,Los Angeles Lakers,San Antonio Spurs,(4-1),2002
Western Conference Semifinals,Sacramento Kings,Dallas Mavericks,(4-1),2002
Eastern Conference First Round,Boston Celtics,Philadelphia 76ers,(3-2),2002
Eastern Conference First Round,Charlotte Hornets,Orlando Magic,(3-1),2002
Eastern Conference First Round,Detroit Pistons,Toronto Raptors,(3-2),2002
Eastern Conference First Round,New Jersey Nets,Indiana Pacers,(3-2),2002
Western Conference First Round,Dallas Mavericks,Minnesota Timberwolves,(3-0),2002
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,(3-0),2002
Western Conference First Round,Sacramento Kings,Utah Jazz,(3-1),2002
Western Conference First Round,San Antonio Spurs,Seattle SuperSonics,(3-2),2002
Finals,San Antonio Spurs,New Jersey Nets,(4-2),2003
Eastern Conference Finals,New Jersey Nets,Detroit Pistons,(4-0),2003
Western Conference Finals,San Antonio Spurs,Dallas Mavericks,(4-2),2003
Eastern Conference Semifinals,Detroit Pistons,Philadelphia 76ers,(4-2),2003
Eastern Conference Semifinals,New Jersey Nets,Boston Celtics,(4-0),2003
Western Conference Semifinals,Dallas Mavericks,Sacramento Kings,(4-3),2003
Western Conference Semifinals,San Antonio Spurs,Los Angeles Lakers,(4-2),2003
Eastern Conference First Round,Boston Celtics,Indiana Pacers,(4-2),2003
Eastern Conference First Round,Detroit Pistons,Orlando Magic,(4-3),2003
Eastern Conference First Round,New Jersey Nets,Milwaukee Bucks,(4-2),2003
Eastern Conference First Round,Philadelphia 76ers,New Orleans Hornets,(4-2),2003
Western Conference First Round,Dallas Mavericks,Portland Trail Blazers,(4-3),2003
Western Conference First Round,Los Angeles Lakers,Minnesota Timberwolves,(4-2),2003
Western Conference First Round,Sacramento Kings,Utah Jazz,(4-1),2003
Western Conference First Round,San Antonio Spurs,Phoenix Suns,(4-2),2003
Finals,Detroit Pistons,Los Angeles Lakers,(4-1),2004
Eastern Conference Finals,Detroit Pistons,Indiana Pacers,(4-2),2004
Western Conference Finals,Los Angeles Lakers,Minnesota Timberwolves,(4-2),2004
Eastern Conference Semifinals,Detroit Pistons,New Jersey Nets,(4-3),2004
Eastern Conference Semifinals,Indiana Pacers,Miami Heat,(4-2),2004
Western Conference Semifinals,Los Angeles Lakers,San Antonio Spurs,(4-2),2004
Western Conference Semifinals,Minnesota Timberwolves,Sacramento Kings,(4-3),2004
Eastern Conference First Round,Detroit Pistons,Milwaukee Bucks,(4-1),2004
Eastern Conference First Round,Indiana Pacers,Boston Celtics,(4-0),2004
Eastern Conference First Round,Miami Heat,New Orleans Hornets,(4-3),2004
Eastern Conference First Round,New Jersey Nets,New York Knicks,(4-0),2004
Western Conference First Round,Los Angeles Lakers,Houston Rockets,(4-1),2004
Western Conference First Round,Minnesota Timberwolves,Denver Nuggets,(4-1),2004
Western Conference First Round,Sacramento Kings,Dallas Mavericks,(4-1),2004
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,(4-0),2004
Finals,San Antonio Spurs,Detroit Pistons,(4-3),2005
Eastern Conference Finals,Detroit Pistons,Miami Heat,(4-3),2005
Western Conference Finals,San Antonio Spurs,Phoenix Suns,(4-1),2005
Eastern Conference Semifinals,Detroit Pistons,Indiana Pacers,(4-2),2005
Eastern Conference Semifinals,Miami Heat,Washington Wizards,(4-0),2005
Western Conference Semifinals,Phoenix Suns,Dallas Mavericks,(4-2),2005
Western Conference Semifinals,San Antonio Spurs,Seattle SuperSonics,(4-2),2005
Eastern Conference First Round,Detroit Pistons,Philadelphia 76ers,(4-1),2005
Eastern Conference First Round,Indiana Pacers,Boston Celtics,(4-3),2005
Eastern Conference First Round,Miami Heat,New Jersey Nets,(4-0),2005
Eastern Conference First Round,Washington Wizards,Chicago Bulls,(4-2),2005
Western Conference First Round,Dallas Mavericks,Houston Rockets,(4-3),2005
Western Conference First Round,Phoenix Suns,Memphis Grizzlies,(4-0),2005
Western Conference First Round,San Antonio Spurs,Denver Nuggets,(4-1),2005
Western Conference First Round,Seattle SuperSonics,Sacramento Kings,(4-1),2005
Finals,Miami Heat,Dallas Mavericks,(4-2),2006
Eastern Conference Finals,Miami Heat,Detroit Pistons,(4-2),2006
Western Conference Finals,Dallas Mavericks,Phoenix Suns,(4-2),2006
